argument_id,topic,main_argument,sources,source_indices
1,Kuntavero ja pääomatulovero,Kuntavero ja pääomatulovero tulisi suunnitella tukemaan ikääntyvä väestö hankkimalla kausityöntekijöitä maataloussektorille ja marjojen poimintaan., koska Suomen väestörakenne on ikääntynyt. Mm. kausityöntekijöitä tarvitaan maatiloille ja marjoja poimimaan."|Maatalousalalla ulkomainen työvoima on yleistä.,4,19
2,Kuntavero ja pääomatulovero,Työperäinen maahanmuutto vaikuttaa kuntaveroon ja pääomatuloveroon, sillä yritykset tarvitsevat työntekijöitä ja ulkomainen työvoima on yleistä maataloudella.,Työperäinen maahanmuutto on ok mutta tämän päivän trendi on että maahanmuuttajat eivät töitä halua tehdä eikä kotiutua suomen lain mukaisesti joten heidän asuminen Suomessa on kallista suomalaisille|"Yritykset tarvitsevat työntekijöitä,9,18
3,Kuntavero ja pääomatulovero,Kuntapäättäjien tulee muotoilla veropolitiikkaa niin, että se edistää kunnan ja kaikkien kuntalaisten etua, mukaan lukien asuinasioiden tukeminen., mutta kuntapäättäjän tulee ajaa kunnan ja kaikkien kuntailaisten etua|Asuminen,12,13
4,Kuntavero ja pääomatulovero,Veropäätöksissä on tärkeää arvioida toimenpiteiden vaikuttavuutta aikaa ja laajuutta silmällä pitäen yksilöllisiä arvoja., arvotkin ovat yksilöllisiä. Tärkeintä päätöksenteossa on arvioida toimenpiteiden vaikuttavuus ajassa ja laajuudessa.",17
5,Kuntavero ja pääomatulovero,Kunnallispolitiikan tulee perustua eettisesti kestäviin periaatteisiin kaikkien kotkalaisten hyväksi.,Lupaan tehdä kunnallispolitiikkaa kaikkien kotkalaisten hyväksi eettisesti kestävin periaattein.,31
6,Kuntavero ja pääomatulovero,Yhteisten talkoiden avulla voidaan edistää kuntaverojen hyödyntämistä yhteisöllisten etujen saavuttamiseksi., vaan kaikkien tulee osallistua ""yhteisiin talkoisiin"".  ",39
7,Kuntavero ja pääomatulovero,Kuntaveroa tulisi ohjata investointeihin alueen infrastruktuuriin ja taloudelliseen kehitykseen uusien työpaikkojen luomiseksi ja Kotkan talouden kestäväksi pohjaksi.,"Kotkaa on uskallettava kehittää! Investoinnit ja satsaukset alueemme elinvoimaan ja liikenneinfraan ovat ainoa tie kohti uusia työpaikkoja| alkaa olla jo käyttöpannassa. Jos Suomeen ei saada puunjalostustehtaita,44,51
8,Kuntavero ja pääomatulovero,Pääomatuloveron avulla tulisi tukea puhtaita teknologioita ympäristön kestävyyden edistämiseksi ja vähentää yhteiskunnan vastakkainasettelua., mikäli haluamme turvata lapsillemme elinkelpoisen ympäristön ja turvallisen yhteiskunnan. On oltava realisti: pystyttävä kohtaamaan epämiellyttävätkin tosiasiat."|"Tässä ei enää ole vastakkainasettelua. Puhtaat teknologiat,43,53
9,Kuntavero ja pääomatulovero,Kuntaverojen kautta tulisi rahoittaa peruspalveluita, kuten kirjastoja, vahvistaen näin yhteisön hyvinvointia ja asukkaiden pääsyä tiedonlähteisiin.,"Kirjastot ovat peruspalvelu| että Suomessa on uskonnonvapaus myös oppilailla. ",48,55
10,Kuntavero ja pääomatulovero,Kunnan tulisi suorittaa kattavat arvioinnit maahanmuuton kustannuksista ja hyödyistä ymmärtääkseen paremmin sen vaikutuksia kuntaveroon ja pääomatuloveroon.,"Maahanmuuton kustannuksia / hyötyjä ei ole Kotkassa arvioitu. Selvää on,62
11,Kuntavero ja pääomatulovero,Demografiset haasteet, kuten nykyinen syntyvyys, ikärakenne ja muuttosuhde, uhkaavat Kotkan tulevaisuuden työvoimatarpeita, mikä edellyttää veropolitiikan kehittämistä näiden kestävyyshaasteiden ratkaisemiseksi., mutta keitä he ovat onkin toinen asia. Kärsimme jo nyt osaavan työvoiman pulasta. "|Nykyinen syntyvyytymme ja ikärakenteemme sekä muuttosuhde ei mahdollista Kotkan tulevaisuudessa tarvitsemaa työvoimantarvetta,70,75
12,Kuntavero ja pääomatulovero,Kaupunkisuunnittelu- ja työpaikkojen luomispyrkimysten tulisi integroida luonnon- ja ympäristöarvot kestävän kehityksen varmistamiseksi, mikä voidaan tukea kohdennetuilla veropolitiikoilla., millaisia luonto- ja ympäristöarvot suunnittelualueilla ovat sekä millaiset työpaikkojen vaikutukset niihin ovat. Yleensä työpaikkojen luomista varten löydetään sopivat paikat niin|"Ympäristöä on tuhottu niin paljon,66,76
13,Kuntavero ja pääomatulovero,Kuntavero tulisi ohjata mahdollistamaan liikuntapaikkojen käytön myös pienituloisille, edistäen näin yhteisön terveyttä ja tasa-arvoa.,Liikuntapaikkojen käytön mahdollistaminen myös pienituloisille,82
14,Kuntavero ja pääomatulovero,Veropolitiikassa on otettava huomioon ympäristön kestävyys rajojen asettamiseksi luonnonvarojen ylikulutuksen estämiseksi., ympäristön huomioivalle ratkaisulle. Ympäristö ei jousta loputtomasti| jos esim. jonkin hankkeen vuoksi joudutaan kaatamaan metsää.  Kaikkien hankkeiden kohdalla on huolehdittava,83,86
15,Kuntavero ja pääomatulovero,Kuntaveroja tulisi käyttää kristillisten perinteiden ylläpitämiseen koulutuksessa ja yhteisössä, vahvistaen kulttuurista identiteettiä.,"Joitakin kristillisiä perinteitä voidaan ylläpitää|"Koulut voivat pitää yllä kristillisiä perinteitä,88,90
16,Kuntavero ja pääomatulovero,Kunnan tulisi tarjota taloudellisia kannustimia perheille, kuten lapsilisät, veropolitiikansa kautta syntyvyyden lisäämiseksi ja demografisten haasteiden ratkaisemiseksi., perheen perustamiseen| että kunnan maksamat erityiset kuntalisät kasvattaisivat syntyvyyttä. Mikäli Kotkassa maksettaisiin esim. 1000€ per lapsi,94,95
