path	line	reason	rule	text
tests/playwright.config.ts	26	attributive-reference	phase-ref	Phase 119
tests/playwright.config.ts	27	attributive-reference	phase-ref	Phase 136
tests/playwright.config.ts	186	not-a-comment-span	phase-ref	Phase 140
tests/playwright.config.ts	210	not-a-comment-span	phase-ref	Phase 140
tests/playwright.config.ts	223	not-a-comment-span	phase-ref	Phase 140
tests/playwright.config.ts	235	not-a-comment-span	phase-ref	Phase 140
tests/playwright.config.ts	436	attributive-reference	phase-ref	Phase 140
tests/playwright.config.ts	477	attributive-reference	phase-ref	Phase 140
tests/playwright.config.ts	561	unstrippable-section-anchor	section-anchor-alpha	§ DEF-135-04
tests/playwright.config.ts	692	attributive-reference	phase-ref	Phase 119
tests/playwright.config.ts	692	attributive-reference	phase-ref	Phase 136
tests/playwright.config.ts	697	attributive-reference	phase-ref	Phase 136
tests/IDURA-TEST-RUNBOOK.md	192	markdown-file	task-id	EFLOW-10
tests/IDURA-TEST-RUNBOOK.md	201	markdown-file	decision-id-bare	D-02
tests/IDURA-TEST-RUNBOOK.md	279	markdown-file	section-anchor-alpha	§ Run
tests/IDURA-TEST-RUNBOOK.md	287	markdown-file	plan-number	plan 122-03
tests/IDURA-TEST-RUNBOOK.md	296	markdown-file	plan-number	plan 122-05
tests/IDURA-TEST-RUNBOOK.md	301	markdown-file	decision-id-bare	D-01
tests/IDURA-TEST-RUNBOOK.md	405	markdown-file	task-id	EFLOW-10
tests/IDURA-TEST-RUNBOOK.md	420	markdown-file	phase-ref	Phase 140
tests/IDURA-TEST-RUNBOOK.md	430	markdown-file	phase-ref	Phase 140
tests/IDURA-TEST-RUNBOOK.md	433	markdown-file	artifact-path	140-GATES.md
tests/README.md	135	markdown-file	phase-ref	Phase 138
tests/README.md	135	markdown-file	todo-class	TODO
tests/README.md	186	markdown-file	phase-ref	Phase 140
tests/README.md	186	markdown-file	phase-ref	Phase 140
tests/tests/utils/multiChoice.ts	7	attributive-reference	phase-ref	Phase 135
tests/tests/utils/selectElection.ts	24	attributive-reference	phase-ref	Phase 136
tests/tests/utils/voterNavigation.ts	53	unstrippable-section-anchor	section-anchor-alpha	§ Named
tests/tests/utils/voterNavigation.ts	54	attributive-reference	phase-ref	Phase 138
tests/tests/utils/voterNavigation.ts	72	attributive-reference	phase-ref	Phase 138
tests/tests/specs/voter/eperm07-term-trigger.spec.ts	10	unstrippable-section-anchor	section-anchor-alpha	§ Hypothesis
tests/tests/specs/voter/eperm07-term-trigger.spec.ts	152	unstrippable-section-anchor	section-anchor-alpha	§R2.4-C
tests/tests/specs/voter/eperm07-term-trigger.spec.ts	268	unstrippable-section-anchor	section-anchor-alpha	§R2.4-C
tests/tests/specs/voter/voter-alliance.spec.ts	47	not-a-comment-span	task-id	EFLOW-02
tests/tests/specs/voter/voter-alliance.spec.ts	47	not-a-comment-span	task-id	EPERM-03
tests/tests/specs/voter/voter-alliance.spec.ts	60	not-a-comment-span	task-id	EPERM-03
tests/tests/specs/voter/voter-alliance.spec.ts	116	not-a-comment-span	task-id	EPERM-04
tests/tests/specs/voter/voter-alliance.spec.ts	136	not-a-comment-span	task-id	EFLOW-02
tests/tests/specs/voter/voter-journey-mobile.spec.ts	51	not-a-comment-span	task-id	EFLOW-11
tests/tests/specs/voter/voter-journey.spec.ts	203	unstrippable-section-anchor	section-anchor-alpha	§ Named
tests/tests/specs/voter/voter-journey.spec.ts	405	unstrippable-section-anchor	section-anchor-alpha	§
tests/tests/specs/voter/voter-journey.spec.ts	887	attributive-reference	phase-ref	Phase 119
tests/tests/specs/voter/voter-journey.spec.ts	894	not-a-comment-span	task-id	EPERM-07
tests/tests/specs/voter/voter-journey.spec.ts	903	unstrippable-section-anchor	section-anchor-alpha	§ DEF-135-04
tests/tests/specs/voter/voter-journey.spec.ts	967	attributive-reference	phase-ref	Phase 135
tests/tests/specs/voter/voter-journey.spec.ts	1225	not-a-comment-span	decision-id-bare	D-10
tests/tests/specs/voter/voter-journey.spec.ts	1673	not-a-comment-span	task-id	EFLOW-01
tests/tests/specs/voter/voter-journey.spec.ts	1814	not-a-comment-span	task-id	EQTYP-02
tests/tests/specs/voter/voter-nominations.spec.ts	29	not-a-comment-span	task-id	UNBLK-04
tests/tests/specs/voter/voter-prefs-tracking.spec.ts	148	not-a-comment-span	task-id	EFLOW-08
tests/tests/specs/visual/visual-regression.spec.ts	29	milestone-version	milestone-ver	v1.2
tests/tests/specs/visual/visual-regression.spec.ts	29	attributive-reference	phase-ref	Phase 136
tests/tests/specs/visual/visual-regression.spec.ts	35	milestone-version	milestone-ver	v1.58
tests/tests/specs/perm/perm-access-disable.spec.ts	40	not-a-comment-span	task-id	EPERM-11
tests/tests/specs/perm/perm-hide-category-tags.spec.ts	50	not-a-comment-span	task-id	ASSERT-05
tests/tests/specs/perm/perm-hide-election-tags.spec.ts	50	not-a-comment-span	task-id	ASSERT-05
tests/tests/specs/perm/perm-interactive-info.spec.ts	68	not-a-comment-span	task-id	EPERM-07
tests/tests/specs/perm/perm-localisation-positive.spec.ts	468	not-a-comment-span	task-id	EFLOW-06
tests/tests/specs/perm/perm-org-matching.spec.ts	52	not-a-comment-span	task-id	EPERM-10
tests/tests/specs/perm/perm-show-feedback-survey.spec.ts	49	not-a-comment-span	task-id	EPERM-09
tests/tests/specs/candidate/candidate-bank-auth-journey.spec.ts	54	unstrippable-section-anchor	section-anchor-alpha	§EFLOW-10b
tests/tests/specs/candidate/candidate-bank-auth.spec.ts	167	not-a-comment-span	task-id	EFLOW-10
tests/tests/specs/candidate/candidate-bank-auth.spec.ts	168	not-a-comment-span	decision-id-bare	D-02
tests/tests/specs/candidate/candidate-journey.spec.ts	409	not-a-comment-span	task-id	EFLOW-09
tests/tests/specs/candidate/candidate-journey.spec.ts	808	not-a-comment-span	task-id	EQTYP-01
tests/tests/specs/candidate/candidate-journey.spec.ts	808	not-a-comment-span	decision-id-bare	D-07
tests/tests/specs/candidate/candidate-journey.spec.ts	884	not-a-comment-span	decision-id-bare	D-02
tests/tests/specs/candidate/candidate-journey.spec.ts	961	not-a-comment-span	task-id	EFLOW-09
tests/tests/specs/a11y/a11y-smoke.spec.ts	295	milestone-version	milestone-ver	v2.14
