01a	ship/v0.2-akita-01a-layout-move	refactor: move the frontend and docs trees into apps/ (renames only, no content change)	RENAME-COMMIT
01b	ship/v0.2-akita-01b-strapi-removal	chore: remove the Strapi backend and the frontend tests that drove it	backend apps/frontend/tests/strapiDataProvider
02	ship/v0.2-akita-02-shared-packages	feat: rework the shared @openvaa packages for the v0.2 data, matching and filter model	packages :(exclude)packages/dev-seed :(exclude)packages/supabase-types
03	ship/v0.2-akita-03-supabase	feat[db]: replace the Strapi backend with the Supabase schema, RLS, functions and generated types	apps/supabase packages/supabase-types supabase
04	ship/v0.2-akita-04-dev-seed	feat: add the dev-seed package that generates deterministic local and E2E data	packages/dev-seed apps/frontend/static/images/e2e-test-image-1.jpg
05	ship/v0.2-akita-05-e2e-tests	test: add the Playwright end-to-end suite and its runner configuration	tests
06	ship/v0.2-akita-06-frontend-lib	feat: rewrite the frontend library layer on Svelte 5 runes and the Supabase adapter	apps/frontend/src/lib
07	ship/v0.2-akita-07-frontend-routes	feat: rewrite the frontend app shell and the voter and candidate routing surface	apps/frontend/src/routes apps/frontend/src/params apps/frontend/src/app.css apps/frontend/src/app.d.ts apps/frontend/src/app.html apps/frontend/src/error.html apps/frontend/src/hooks.server.ts apps/frontend/src/hooks.ts apps/frontend/src/tailwind-theme.css
08	ship/v0.2-akita-08-i18n-messages	feat: add the Paraglide message catalogues for every supported locale	apps/frontend/messages
09	ship/v0.2-akita-09-docs	docs: update the project documentation - the docs site, the root README and roadmap, and the key-generation guide	apps/docs docs ROADMAP.md README.md
10	ship/v0.2-akita-10-root-config	chore: update the monorepo and frontend-app build, lint, CI and deployment plumbing	.bg-shell .changeset .github .husky .yarn .env.example .gitignore .lintstagedrc.json .prettierignore .yarnrc.yml docker-compose.dev.yml package.json render.example.yaml turbo.json yarn.lock apps/frontend/.gitignore apps/frontend/Dockerfile apps/frontend/README.md apps/frontend/capacitor.config.ts apps/frontend/docker-compose.dev.yml apps/frontend/eslint.config.mjs apps/frontend/package.json apps/frontend/postcss.config.cjs apps/frontend/project.inlang apps/frontend/scripts apps/frontend/svelte.config.js apps/frontend/tailwind.config.mjs apps/frontend/tsconfig.json apps/frontend/tsconfig.tsbuildinfo apps/frontend/vite.config.ts apps/frontend/vitest.config.ts apps/frontend/android apps/frontend/ios apps/frontend/jest.config.json
11	ship/v0.2-akita-11-planning	docs[planning]: add the v0.2 planning record and agent configuration	.planning .claude .agents CLAUDE.md
